model,ts_code,trade_date,priority_name,priority,target
h5m80d50_direction,000712.SZ,20260827,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,301205.SZ,20260827,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,688300.SH,20260827,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,301047.SZ,20260826,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,688185.SH,20260826,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,688300.SH,20260826,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,301205.SZ,20260825,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,600508.SH,20260825,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,688596.SH,20260825,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,000603.SZ,20260824,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,002716.SZ,20260824,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,601212.SH,20260824,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,300672.SZ,20260811,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,688048.SH,20260811,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,688548.SH,20260811,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,300548.SZ,20260810,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,688048.SH,20260810,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,688150.SH,20260810,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,300870.SZ,20260807,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,688766.SH,20260807,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,688800.SH,20260807,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,002222.SZ,20260806,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,301392.SZ,20260806,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,601208.SH,20260806,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,002436.SZ,20260805,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,688313.SH,20260805,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,688766.SH,20260805,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,300570.SZ,20260804,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,301392.SZ,20260804,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,688048.SH,20260804,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,688017.SH,20260803,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,688141.SH,20260803,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,688313.SH,20260803,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,300475.SZ,20260731,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,300620.SZ,20260731,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,688519.SH,20260731,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,300672.SZ,20260730,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,688017.SH,20260730,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,688519.SH,20260730,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,688123.SH,20260729,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,688300.SH,20260729,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,688519.SH,20260729,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,301205.SZ,20260728,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,688200.SH,20260728,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,688766.SH,20260728,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,301205.SZ,20260727,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,301526.SZ,20260727,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,605376.SH,20260727,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,300475.SZ,20260724,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,300666.SZ,20260724,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,688146.SH,20260724,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,300620.SZ,20260723,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,300857.SZ,20260723,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,301205.SZ,20260723,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,301526.SZ,20260722,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,603083.SH,20260722,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,688333.SH,20260722,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,300570.SZ,20260721,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,300620.SZ,20260721,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,301205.SZ,20260721,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,300570.SZ,20260720,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,301200.SZ,20260720,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,688549.SH,20260720,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,300570.SZ,20260717,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,688300.SH,20260717,H5_COMPETING_DIRECTION_TOP3,1,
h5m80d50_direction,688630.SH,20260717,H5_COMPETING_DIRECTION_TOP3,1,
